season,team,player_name,playing_role,base_price,final_price,capped_status,is_retention,retention_type
2018,Chennai Super Kings,Kedar Jadhav,All-Rounder,,78000000,,FALSE,
2018,Chennai Super Kings,Dwayne Bravo,All-Rounder,,64000000,,FALSE,
2018,Chennai Super Kings,Karn Sharma,Bowler,,50000000,,FALSE,
2018,Chennai Super Kings,Shane Watson,All-Rounder,,40000000,,FALSE,
2018,Chennai Super Kings,Shardul Narendra Thakur,Bowler,,26000000,,FALSE,
2018,Chennai Super Kings,Ambati Rayudu,Wicket Keeper,,22000000,,FALSE,
2018,Chennai Super Kings,Murali Vijay,Batsman,,20000000,,FALSE,
2018,Chennai Super Kings,Harbhajan Singh,Bowler,,20000000,,FALSE,
2018,Chennai Super Kings,Faf Du Plessis,Batsman,,16000000,,FALSE,
2018,Chennai Super Kings,Mark Wood,Bowler,,15000000,,FALSE,
2018,Chennai Super Kings,Sam Billings,Wicket Keeper,,10000000,,FALSE,
2018,Chennai Super Kings,Imran Tahir,Bowler,,10000000,,FALSE,
2018,Chennai Super Kings,Deepak Chahar,All-Rounder,,8000000,,FALSE,
2018,Chennai Super Kings,Mitchell Santner,All-Rounder,,5000000,,FALSE,
2018,Chennai Super Kings,Lungisani Ngidi,Bowler,,5000000,,FALSE,
2018,Chennai Super Kings,Asif K M,Bowler,,4000000,,FALSE,
2018,Chennai Super Kings,N Jagadeesan,Wicket Keeper,,2000000,,FALSE,
2018,Chennai Super Kings,Kanishk Seth,All-Rounder,,2000000,,FALSE,
2018,Chennai Super Kings,Monu Singh,Bowler,,2000000,,FALSE,
2018,Chennai Super Kings,Dhruv Shorey,All-Rounder,,2000000,,FALSE,
2018,Chennai Super Kings,Kshitiz Sharma,All-Rounder,,2000000,,FALSE,
2018,Chennai Super Kings,Chaitanya Bishnoi,All-Rounder,,2000000,,FALSE,
2018,Delhi Daredevils,Glenn Maxwell,All-Rounder,,90000000,,FALSE,
2018,Delhi Daredevils,Kagiso Rabada,Bowler,,42000000,,FALSE,
2018,Delhi Daredevils,Amit Mishra,Bowler,,40000000,,FALSE,
2018,Delhi Daredevils,Shahbaz Nadeem,Bowler,,32000000,,FALSE,
2018,Delhi Daredevils,Vijay Shankar,All-Rounder,,32000000,,FALSE,
2018,Delhi Daredevils,Rahul Tewatia,All-Rounder,,30000000,,FALSE,
2018,Delhi Daredevils,Mohammad Shami,Bowler,,30000000,,FALSE,
2018,Delhi Daredevils,Gautam Gambhir,Batsman,,28000000,,FALSE,
2018,Delhi Daredevils,Trent Boult,Bowler,,22000000,,FALSE,
2018,Delhi Daredevils,Colin Munro,All-Rounder,,19000000,,FALSE,
2018,Delhi Daredevils,Daniel Christian,All-Rounder,,15000000,,FALSE,
2018,Delhi Daredevils,Jason Roy,Batsman,,15000000,,FALSE,
2018,Delhi Daredevils,Naman Ojha,Wicket Keeper,,14000000,,FALSE,
2018,Delhi Daredevils,Prithvi Shaw,Batsman,,12000000,,FALSE,
2018,Delhi Daredevils,Gurkeerat Singh Mann,All-Rounder,,7500000,,FALSE,
2018,Delhi Daredevils,Avesh Khan,Bowler,,7000000,,FALSE,
2018,Delhi Daredevils,Abhishek Sharma,All-Rounder,,5500000,,FALSE,
2018,Delhi Daredevils,Jayant Yadav,All-Rounder,,5000000,,FALSE,
2018,Delhi Daredevils,Harshal Patel,All-Rounder,,2000000,,FALSE,
2018,Delhi Daredevils,Manjot Kalra,Batsman,,2000000,,FALSE,
2018,Delhi Daredevils,Sandeep Lamichhane,Bowler,,2000000,,FALSE,
2018,Delhi Daredevils,Sayan Ghosh,Bowler,,2000000,,FALSE,
2018,Kings XI Punjab,KL Rahul,Batsman,,110000000,,FALSE,
2018,Kings XI Punjab,Ravichandran Ashwin,All-Rounder,,76000000,,FALSE,
2018,Kings XI Punjab,Andrew Tye,Bowler,,72000000,,FALSE,
2018,Kings XI Punjab,Aaron Finch,Batsman,,62000000,,FALSE,
2018,Kings XI Punjab,Marcus Stoinis,All-Rounder,,62000000,,FALSE,
2018,Kings XI Punjab,Karun Nair,Batsman,,56000000,,FALSE,
2018,Kings XI Punjab,Mujeeb Zadran,Bowler,,40000000,,FALSE,
2018,Kings XI Punjab,Ankit Singh Rajpoot,Bowler,,30000000,,FALSE,
2018,Kings XI Punjab,David Miller,Batsman,,30000000,,FALSE,
2018,Kings XI Punjab,Mohit Sharma,Bowler,,24000000,,FALSE,
2018,Kings XI Punjab,Barinder Singh Sran,Bowler,,22000000,,FALSE,
2018,Kings XI Punjab,Yuvraj Singh,All-Rounder,,20000000,,FALSE,
2018,Kings XI Punjab,Christopher Gayle,Batsman,,20000000,,FALSE,
2018,Kings XI Punjab,Ben Dwarshuis,Bowler,,14000000,,FALSE,
2018,Kings XI Punjab,Akshdeep Nath,All-Rounder,,10000000,,FALSE,
2018,Kings XI Punjab,Manoj Tiwary,Batsman,,10000000,,FALSE,
2018,Kings XI Punjab,Mayank Agarwal,Batsman,,10000000,,FALSE,
2018,Kings XI Punjab,Manzoor Dar,All-Rounder,,2000000,,FALSE,
2018,Kings XI Punjab,Pardeep Sahu,Bowler,,2000000,,FALSE,
2018,Kings XI Punjab,Mayank Dagar,All-Rounder,,2000000,,FALSE,
2018,Kolkata Knight Riders,Chris Lynn,Batsman,,96000000,,FALSE,
2018,Kolkata Knight Riders,Mitchell Starc,Bowler,,94000000,,FALSE,
2018,Kolkata Knight Riders,Dinesh Karthik,Wicket Keeper,,74000000,,FALSE,
2018,Kolkata Knight Riders,Robin Uthappa,Wicket Keeper,,64000000,,FALSE,
2018,Kolkata Knight Riders,Kuldeep Singh Yadav,Bowler,,58000000,,FALSE,
2018,Kolkata Knight Riders,Piyush Chawla,Bowler,,42000000,,FALSE,
2018,Kolkata Knight Riders,Nitish Rana,All-Rounder,,34000000,,FALSE,
2018,Kolkata Knight Riders,Kamlesh Nagarkoti,All-Rounder,,32000000,,FALSE,
2018,Kolkata Knight Riders,Shivam Mavi,All-Rounder,,30000000,,FALSE,
2018,Kolkata Knight Riders,Mitchell Johnson,Bowler,,20000000,,FALSE,
2018,Kolkata Knight Riders,Shubman Gill,Batsman,,18000000,,FALSE,
2018,Kolkata Knight Riders,Ranganath Vinay Kumar,Bowler,,10000000,,FALSE,
2018,Kolkata Knight Riders,Rinku Singh,Batsman,,8000000,,FALSE,
2018,Kolkata Knight Riders,Cameron Delport,All-Rounder,,3000000,,FALSE,
2018,Kolkata Knight Riders,Javon Searless,All-Rounder,,3000000,,FALSE,
2018,Kolkata Knight Riders,Apoorv Vijay Wankhade,Batsman,,2000000,,FALSE,
2018,Kolkata Knight Riders,Ishank Jaggi,Batsman,,2000000,,FALSE,
2018,Mumbai Indians,Krunal Pandya,All-Rounder,,88000000,,FALSE,
2018,Mumbai Indians,Ishan Kishan,Wicket Keeper,,62000000,,FALSE,
2018,Mumbai Indians,Kieron Pollard,All-Rounder,,54000000,,FALSE,
2018,Mumbai Indians,Pat Cummins,Bowler,,54000000,,FALSE,
2018,Mumbai Indians,Evin Lewis,Batsman,,38000000,,FALSE,
2018,Mumbai Indians,Suryakumar Yadav,Batsman,,32000000,,FALSE,
2018,Mumbai Indians,Ben Cutting,All-Rounder,,22000000,,FALSE,
2018,Mumbai Indians,Mustafizur Rahman,Bowler,,22000000,,FALSE,
2018,Mumbai Indians,Rahul Chahar,Bowler,,19000000,,FALSE,
2018,Mumbai Indians,Pradeep Sangwan,Bowler,,15000000,,FALSE,
2018,Mumbai Indians,Jason Behrendorff,Bowler,,15000000,,FALSE,
2018,Mumbai Indians,Jean-Paul Duminy,All-Rounder,,10000000,,FALSE,
2018,Mumbai Indians,Saurabh Tiwary,Batsman,,8000000,,FALSE,
2018,Mumbai Indians,Tajinder Dhillon,All-Rounder,,5500000,,FALSE,
2018,Mumbai Indians,Akila Dhananjaya,Bowler,,5000000,,FALSE,
2018,Mumbai Indians,Nidheesh M D Dinesan,Bowler,,2000000,,FALSE,
2018,Mumbai Indians,Aditya Tare,Wicket Keeper,,2000000,,FALSE,
2018,Mumbai Indians,Siddhesh Dinesh Lad,Batsman,,2000000,,FALSE,
2018,Mumbai Indians,Mayank Markande,Bowler,,2000000,,FALSE,
2018,Mumbai Indians,Sharad Lumba,Batsman,,2000000,,FALSE,
2018,Mumbai Indians,Anukul Roy,All-Rounder,,2000000,,FALSE,
2018,Mumbai Indians,Mohsin Khan,Bowler,,2000000,,FALSE,
2018,Rajasthan Royals,Benjamin Stokes,All-Rounder,,125000000,,FALSE,
2018,Rajasthan Royals,Jaydev Unadkat,Bowler,,115000000,,FALSE,
2018,Rajasthan Royals,Sanju Samson,Wicket Keeper,,80000000,,FALSE,
2018,Rajasthan Royals,Jofra Archer,All-Rounder,,72000000,,FALSE,
2018,Rajasthan Royals,Krishnappa Gowtham,Bowler,,62000000,,FALSE,
2018,Rajasthan Royals,Jos Buttler,Wicket Keeper,,44000000,,FALSE,
2018,Rajasthan Royals,Ajinkya Rahane,Batsman,,40000000,,FALSE,
2018,Rajasthan Royals,Darcy Short,All-Rounder,,40000000,,FALSE,
2018,Rajasthan Royals,Rahul Tripathi,Batsman,,34000000,,FALSE,
2018,Rajasthan Royals,Dhawal Kulkarni,Bowler,,7500000,,FALSE,
2018,Rajasthan Royals,Zahir Khan Pakteen,Bowler,,6000000,,FALSE,
2018,Rajasthan Royals,Ben Laughlin,Bowler,,5000000,,FALSE,
2018,Rajasthan Royals,Stuart Binny,All-Rounder,,5000000,,FALSE,
2018,Rajasthan Royals,Dushmantha Chameera,Bowler,,5000000,,FALSE,
2018,Rajasthan Royals,Anureet Singh,Bowler,,3000000,,FALSE,
2018,Rajasthan Royals,Aryaman Vikram Birla,All-Rounder,,3000000,,FALSE,
2018,Rajasthan Royals,Midhun S,All-Rounder,,2000000,,FALSE,
2018,Rajasthan Royals,Shreyas Gopal,All-Rounder,,2000000,,FALSE,
2018,Rajasthan Royals,Prashant Chopra,Wicket Keeper,,2000000,,FALSE,
2018,Rajasthan Royals,Jatin Saxena,All-Rounder,,2000000,,FALSE,
2018,Rajasthan Royals,Ankit Sharma,All-Rounder,,2000000,,FALSE,
2018,Rajasthan Royals,Mahipal Lomror,All-Rounder,,2000000,,FALSE,
2018,Royal Challengers Bengaluru,Chris Woakes,All-Rounder,,74000000,,FALSE,
2018,Royal Challengers Bengaluru,Yuzvendra Singh Chahal,Bowler,,60000000,,FALSE,
2018,Royal Challengers Bengaluru,Umesh Yadav,Bowler,,42000000,,FALSE,
2018,Royal Challengers Bengaluru,Brendon McCullum,Batsman,,36000000,,FALSE,
2018,Royal Challengers Bengaluru,M.S. Washington Sundar,All-Rounder,,32000000,,FALSE,
2018,Royal Challengers Bengaluru,Navdeep Saini,Bowler,,30000000,,FALSE,
2018,Royal Challengers Bengaluru,Quinton De Kock,Wicket Keeper,,28000000,,FALSE,
2018,Royal Challengers Bengaluru,Mohammed Siraj,Bowler,,26000000,,FALSE,
2018,Royal Challengers Bengaluru,Nathan Coulter-Nile,Bowler,,22000000,,FALSE,
2018,Royal Challengers Bengaluru,Colin De Grandhomme,All-Rounder,,22000000,,FALSE,
2018,Royal Challengers Bengaluru,M. Ashwin,Bowler,,22000000,,FALSE,
2018,Royal Challengers Bengaluru,Parthiv Patel,Wicket Keeper,,17000000,,FALSE,
2018,Royal Challengers Bengaluru,Moeen Ali,All-Rounder,,17000000,,FALSE,
2018,Royal Challengers Bengaluru,Mandeep Singh,All-Rounder,,14000000,,FALSE,
2018,Royal Challengers Bengaluru,Manan Vohra,Batsman,,11000000,,FALSE,
2018,Royal Challengers Bengaluru,Pawan Negi,All-Rounder,,10000000,,FALSE,
2018,Royal Challengers Bengaluru,Tim Southee,Bowler,,10000000,,FALSE,
2018,Royal Challengers Bengaluru,Kulwant Khejroliya,Bowler,,8500000,,FALSE,
2018,Royal Challengers Bengaluru,Aniket Choudhary,Bowler,,3000000,,FALSE,
2018,Royal Challengers Bengaluru,Pavan Deshpande,All-Rounder,,2000000,,FALSE,
2018,Royal Challengers Bengaluru,Anirudha Ashok Joshi,All-Rounder,,2000000,,FALSE,
2018,Sunrisers Hyderabad,Manish Pandey,Batsman,,110000000,,FALSE,
2018,Sunrisers Hyderabad,Rashid Khan Arman,Bowler,,90000000,,FALSE,
2018,Sunrisers Hyderabad,Shikhar Dhawan,Batsman,,52000000,,FALSE,
2018,Sunrisers Hyderabad,Wriddhiman Saha,Wicket Keeper,,50000000,,FALSE,
2018,Sunrisers Hyderabad,Siddarth Kaul,Bowler,,38000000,,FALSE,
2018,Sunrisers Hyderabad,Deepak Hooda,All-Rounder,,36000000,,FALSE,
2018,Sunrisers Hyderabad,Syed Khaleel Ahmed,Bowler,,30000000,,FALSE,
2018,Sunrisers Hyderabad,Sandeep Sharma,Bowler,,30000000,,FALSE,
2018,Sunrisers Hyderabad,Kane Williamson,Batsman,,30000000,,FALSE,
2018,Sunrisers Hyderabad,Carlos Brathwaite,All-Rounder,,20000000,,FALSE,
2018,Sunrisers Hyderabad,Shakib Al Hasan,All-Rounder,,20000000,,FALSE,
2018,Sunrisers Hyderabad,Yusuf Pathan,All-Rounder,,19000000,,FALSE,
2018,Sunrisers Hyderabad,Shreevats Goswami,Wicket Keeper,,10000000,,FALSE,
2018,Sunrisers Hyderabad,Mohammad Nabi,All-Rounder,,10000000,,FALSE,
2018,Sunrisers Hyderabad,Chris Jordan,All-Rounder,,10000000,,FALSE,
2018,Sunrisers Hyderabad,Basil Thampi,Bowler,,9500000,,FALSE,
2018,Sunrisers Hyderabad,Billy Stanlake,Batsman,,5000000,,FALSE,
2018,Sunrisers Hyderabad,T Natarajan,Bowler,,4000000,,FALSE,
2018,Sunrisers Hyderabad,Sachin Baby,Batsman,,2000000,,FALSE,
2018,Sunrisers Hyderabad,Bipul Sharma,All-Rounder,,2000000,,FALSE,
2018,Sunrisers Hyderabad,Syed Mehdi Hasan,All-Rounder,,2000000,,FALSE,
2018,Sunrisers Hyderabad,Ricky Bhui,Batsman,,2000000,,FALSE,
2018,Sunrisers Hyderabad,Tanmay Agarwal,Batsman,,2000000,,FALSE,
2019,Chennai Super Kings,Mohit Sharma,Bowler,,50000000,,FALSE,
2019,Chennai Super Kings,Ruturaj Gaikwad,Batsman,,2000000,,FALSE,
2019,Delhi Capitals,Colin Ingram,Batsman,,64000000,,FALSE,
2019,Delhi Capitals,Axar Rajesh Patel,All-Rounder,,50000000,,FALSE,
2019,Delhi Capitals,Hanuma Vihari,Batsman,,20000000,,FALSE,
2019,Delhi Capitals,Sherfane Rutherford,All-Rounder,,20000000,,FALSE,
2019,Delhi Capitals,Ishant Sharma,Bowler,,11000000,,FALSE,
2019,Delhi Capitals,Keemo Paul,All-Rounder,,5000000,,FALSE,
2019,Delhi Capitals,Jalaj Saxena,All-Rounder,,2000000,,FALSE,
2019,Delhi Capitals,Ankush Bains,Wicket Keeper,,2000000,,FALSE,
2019,Delhi Capitals,Nathu Singh,Bowler,,2000000,,FALSE,
2019,Delhi Capitals,Bandaru Ayyappa,Bowler,,2000000,,FALSE,
2019,Kings XI Punjab,Varun Chakaravarthy,All-Rounder,,84000000,,FALSE,
2019,Kings XI Punjab,Sam Curran,All-Rounder,,72000000,,FALSE,
2019,Kings XI Punjab,Mohammad Shami,Bowler,,48000000,,FALSE,
2019,Kings XI Punjab,Prabhsimran Singh,Wicket Keeper,,48000000,,FALSE,
2019,Kings XI Punjab,Nicolas Pooran,Wicket Keeper,,42000000,,FALSE,
2019,Kings XI Punjab,Moises Henriques,All-Rounder,,10000000,,FALSE,
2019,Kings XI Punjab,Hardus Viljoen,Bowler,,7500000,,FALSE,
2019,Kings XI Punjab,Darshan Nalkande,All-Rounder,,3000000,,FALSE,
2019,Kings XI Punjab,Sarfaraz Naushad Khan,All-Rounder,,2500000,,FALSE,
2019,Kings XI Punjab,Arshdeep Singh,Bowler,,2000000,,FALSE,
2019,Kings XI Punjab,Agnivesh Ayachi,All-Rounder,,2000000,,FALSE,
2019,Kings XI Punjab,Harpreet Brar,All-Rounder,,2000000,,FALSE,
2019,Kings XI Punjab,M. Ashwin,Bowler,,2000000,,FALSE,
2019,Kolkata Knight Riders,Carlos Brathwaite,All-Rounder,,50000000,,FALSE,
2019,Kolkata Knight Riders,Lockie Ferguson,Bowler,,16000000,,FALSE,
2019,Kolkata Knight Riders,Joe Denly,Batsman,,10000000,,FALSE,
2019,Kolkata Knight Riders,Harry Gurney,Bowler,,7500000,,FALSE,
2019,Kolkata Knight Riders,Nikhil Shankar Naik,Wicket Keeper,,2000000,,FALSE,
2019,Kolkata Knight Riders,Shrikant Mundhe,All-Rounder,,2000000,,FALSE,
2019,Kolkata Knight Riders,Prithvi Raj Yarra,Bowler,,2000000,,FALSE,
2019,Kolkata Knight Riders,Anrich Nortje,Bowler,,2000000,,FALSE,
2019,Mumbai Indians,Barinder Singh Sran,Bowler,,34000000,,FALSE,
2019,Mumbai Indians,Lasith Malinga,Bowler,,20000000,,FALSE,
2019,Mumbai Indians,Yuvraj Singh,All-Rounder,,10000000,,FALSE,
2019,Mumbai Indians,Anmolpreet Singh,Batsman,,8000000,,FALSE,
2019,Mumbai Indians,Pankaj Jaswal,All-Rounder,,2000000,,FALSE,
2019,Mumbai Indians,Rasikh Dar,Bowler,,2000000,,FALSE,
2019,Rajasthan Royals,Jaydev Unadkat,Bowler,,84000000,,FALSE,
2019,Rajasthan Royals,Varun Aaron,Bowler,,24000000,,FALSE,
2019,Rajasthan Royals,Oshane Thomas,Bowler,,11000000,,FALSE,
2019,Rajasthan Royals,Ashton Turner,All-Rounder,,5000000,,FALSE,
2019,Rajasthan Royals,Liam Livingstone,All-Rounder,,5000000,,FALSE,
2019,Rajasthan Royals,Shashank Singh,All-Rounder,,3000000,,FALSE,
2019,Rajasthan Royals,Riyan Parag,All-Rounder,,2000000,,FALSE,
2019,Rajasthan Royals,Manan Vohra,Batsman,,2000000,,FALSE,
2019,Rajasthan Royals,Shubham Ranjane,All-Rounder,,2000000,,FALSE,
2019,Royal Challengers Bengaluru,Shivam Dube,All-Rounder,,50000000,,FALSE,
2019,Royal Challengers Bengaluru,Shimron Hetmyer,Batsman,,42000000,,FALSE,
2019,Royal Challengers Bengaluru,Akshdeep Nath,All-Rounder,,36000000,,FALSE,
2019,Royal Challengers Bengaluru,Prayas Ray Barman,All-Rounder,,15000000,,FALSE,
2019,Royal Challengers Bengaluru,Himmat Singh,Batsman,,6500000,,FALSE,
2019,Royal Challengers Bengaluru,Gurkeerat Singh Mann,All-Rounder,,5000000,,FALSE,
2019,Royal Challengers Bengaluru,Heinrich Klaasen,Wicket Keeper,,5000000,,FALSE,
2019,Royal Challengers Bengaluru,Devdutt Padikkal,Batsman,,2000000,,FALSE,
2019,Royal Challengers Bengaluru,Milind Kumar,All-Rounder,,2000000,,FALSE,
2019,Sunrisers Hyderabad,Jonny Bairstow,Wicket Keeper,,22000000,,FALSE,
2019,Sunrisers Hyderabad,Wriddhiman Saha,Wicket Keeper,,12000000,,FALSE,
2019,Sunrisers Hyderabad,Martin Guptill,Batsman,,10000000,,FALSE,
2020,Chennai Super Kings,Piyush Chawla,Bowler,,67500000,,FALSE,
2020,Chennai Super Kings,Sam Curran,All-Rounder,,55000000,,FALSE,
2020,Chennai Super Kings,Josh Hazlewood,Bowler,,20000000,,FALSE,
2020,Chennai Super Kings,R. Sai Kishore,Bowler,,2000000,,FALSE,
2020,Delhi Capitals,Shimron Hetmyer,Batsman,,77500000,,FALSE,
2020,Delhi Capitals,Marcus Stoinis,All-Rounder,,48000000,,FALSE,
2020,Delhi Capitals,Alex Carey,Wicket Keeper,,24000000,,FALSE,
2020,Delhi Capitals,Jason Roy,Batsman,,15000000,,FALSE,
2020,Delhi Capitals,Chris Woakes,All-Rounder,,15000000,,FALSE,
2020,Delhi Capitals,Mohit Sharma,Bowler,,5000000,,FALSE,
2020,Delhi Capitals,Tushar Deshpande,Bowler,,2000000,,FALSE,
2020,Delhi Capitals,Lalit Yadav,All-Rounder,,2000000,,FALSE,
2020,Kings XI Punjab,Glenn Maxwell,All-Rounder,,107500000,,FALSE,
2020,Kings XI Punjab,Sheldon Cottrell,Bowler,,85000000,,FALSE,
2020,Kings XI Punjab,Chris Jordan,All-Rounder,,30000000,,FALSE,
2020,Kings XI Punjab,Ravi Bishnoi,Bowler,,20000000,,FALSE,
2020,Kings XI Punjab,Prabhsimran Singh,Wicket Keeper,,5500000,,FALSE,
2020,Kings XI Punjab,Deepak Hooda,All-Rounder,,5000000,,FALSE,
2020,Kings XI Punjab,James Neesham,All-Rounder,,5000000,,FALSE,
2020,Kings XI Punjab,Tajinder Dhillon,All-Rounder,,2000000,,FALSE,
2020,Kings XI Punjab,Ishan Porel,Bowler,,2000000,,FALSE,
2020,Kolkata Knight Riders,Pat Cummins,All-Rounder,,155000000,,FALSE,
2020,Kolkata Knight Riders,Eoin Morgan,Batsman,,52500000,,FALSE,
2020,Kolkata Knight Riders,Varun Chakaravarthy,All-Rounder,,40000000,,FALSE,
2020,Kolkata Knight Riders,Tom Banton,Batsman,,10000000,,FALSE,
2020,Kolkata Knight Riders,Rahul Tripathi,Batsman,,6000000,,FALSE,
2020,Kolkata Knight Riders,Chris Green,All-Rounder,,2000000,,FALSE,
2020,Kolkata Knight Riders,Nikhil Shankar Naik,Wicket Keeper,,2000000,,FALSE,
2020,Kolkata Knight Riders,Pravin Tambe,Bowler,,2000000,,FALSE,
2020,Kolkata Knight Riders,M Siddharth,Bowler,,2000000,,FALSE,
2020,Mumbai Indians,Nathan Coulter-Nile,Bowler,,80000000,,FALSE,
2020,Mumbai Indians,Chris Lynn,Batsman,,20000000,,FALSE,
2020,Mumbai Indians,Saurabh Tiwary,Batsman,,5000000,,FALSE,
2020,Mumbai Indians,Digvijay Deshmukh,All-Rounder,,2000000,,FALSE,
2020,Mumbai Indians,Prince Balwant Rai Singh,All-Rounder,,2000000,,FALSE,
2020,Mumbai Indians,Mohsin Khan,Bowler,,2000000,,FALSE,
