season,retaining_team,player,nationality,salary
2018,Chennai Super Kings,MS Dhoni,,1500
2018,Chennai Super Kings,Ravindra Jadeja,,700
2018,Chennai Super Kings,Suresh Raina,,1100
2018,Delhi Capitals,Chris Morris,,710
2018,Delhi Capitals,Rishabh Pant,,800
2018,Delhi Capitals,Shreyas Iyer,,700
2018,Kings XI Punjab,Axar Patel,,675
2018,Kolkata Knight Riders,Andre Russell,,700
2018,Kolkata Knight Riders,Sunil Narine,,850
2018,Mumbai Indians,Hardik Pandya,,1100
2018,Mumbai Indians,Jasprit Bumrah,,700
2018,Mumbai Indians,Rohit Sharma,,1500
2018,Rajasthan Royals,Steve Smith,,1200
2018,Royal Challengers Bangalore,AB de Villiers,,1100
2018,Royal Challengers Bangalore,Sarfaraz Khan,,175
2018,Royal Challengers Bangalore,Virat Kohli,,1700
2018,Sunrisers Hyderabad,Bhuvneshwar Kumar,,850
2018,Sunrisers Hyderabad,David Warner,,1200
2019,Chennai Super Kings,Ambati Rayudu,India,220
2019,Chennai Super Kings,Chaitanya Bishnoi,India,20
2019,Chennai Super Kings,David Willey [REP],England,200
2019,Chennai Super Kings,Deepak Chahar,India,80
2019,Chennai Super Kings,Dhruv Shorey,India,20
2019,Chennai Super Kings,Dwayne Bravo,Trinidad and Tobago,640
2019,Chennai Super Kings,Faf du Plessis,South Africa,160
2019,Chennai Super Kings,Harbhajan Singh,India,200
2019,Chennai Super Kings,Imran Tahir,South Africa,100
2019,Chennai Super Kings,KM Asif,India,40
2019,Chennai Super Kings,Karn Sharma,India,500
2019,Chennai Super Kings,Kedar Jadhav,India,780
2019,Chennai Super Kings,Lungi Ngidi,South Africa,50
2019,Chennai Super Kings,Mahendra Singh Dhoni,India,1500
2019,Chennai Super Kings,Mitchell Santner,New Zealand,50
2019,Chennai Super Kings,Monu Singh,India,20
2019,Chennai Super Kings,Murali Vijay,India,200
2019,Chennai Super Kings,Narayan Jagadeesan,India,20
2019,Chennai Super Kings,Ravindra Jadeja,India,700
2019,Chennai Super Kings,Sam Billings,England,100
2019,Chennai Super Kings,Shane Watson,Australia,400
2019,Chennai Super Kings,Shardul Thakur,India,260
2019,Chennai Super Kings,Suresh Raina,India,1100
2019,Delhi Capitals,Amit Mishra,India,400
2019,Delhi Capitals,Avesh Khan,India,70
2019,Delhi Capitals,Chris Morris,South Africa,710
2019,Delhi Capitals,Colin Munro,New Zealand,190
2019,Delhi Capitals,Harshal Patel,India,20
